厉钱数量,初始源石锭数量,失败概率,成功概率,中间态概率
4,0,1.0,0.0,0.0
4,16,1.0,0.0,0.0
4,32,1.0,0.0,0.0
4,48,1.0,0.0,0.0
4,64,1.0,0.0,0.0
4,80,1.0,0.0,0.0
4,96,1.0,0.0,0.0
4,112,1.0,0.0,0.0
4,128,0.9999999996397455,2.792481567215796e-10,8.100502898142016e-11
4,144,0.9999996516655035,2.721837068659929e-07,7.615078899424347e-08
4,160,0.9999928753152877,5.593110401215649e-06,1.531574310309323e-06
4,176,0.9999561149842282,3.457284073652792e-05,9.312175034856965e-06
4,192,0.9998455638943924,0.00012206287541918904,3.237323018844633e-05
4,208,0.9996070367560089,0.00031148186816989807,8.148137582055865e-05
4,224,0.99918832963654,0.0006448480934709753,0.00016682226998899208
4,240,0.9984997038466921,0.0011943062848988825,0.0003059898684091388
4,256,0.9974934509474951,0.001999199484113029,0.00050734956839241
4,272,0.9960772520098561,0.0031343559873181575,0.0007883920028258113
4,288,0.9942226550658129,0.004624104085339318,0.0011532408488475847
4,304,0.9918430089118115,0.00653936648845291,0.001617624599735426
4,320,0.9890023839007934,0.0088288436545707,0.00216877244463454
4,336,0.9855151813059185,0.011647220921522641,0.0028375977725583292
4,352,0.9815382026739202,0.014867187618128379,0.0035946097079509565
4,368,0.9770114051466696,0.018534217759777687,0.004454377093551734
4,384,0.9719140782359033,0.022679470209754284,0.005406451554341719
4,400,0.9662762248331489,0.027264402653710704,0.006459372513139238
4,416,0.9601804573666308,0.03223879345438587,0.007580749178981713
4,432,0.9537066220377183,0.03752531817036476,0.008768059791916144
4,448,0.9467702286462631,0.043201638228040774,0.010028133125694722
4,464,0.9393932814200124,0.04925619287005358,0.011350525709932847
4,480,0.9318510576515221,0.055443756327055345,0.012705186021421696
4,496,0.9238964507792657,0.062002336595300835,0.01410121262543247
4,512,0.9157890011151053,0.06868765924124005,0.015523339643652408
4,528,0.907577890681506,0.07545821461667586,0.016963894701817184
4,544,0.8990193661094634,0.08257341489521924,0.018407218995315867
4,560,0.8904445505761318,0.08967824859574648,0.01987720082812022
4,576,0.8818834429714684,0.0967766643508404,0.021339892677689504
4,592,0.873009605240932,0.10422473453268916,0.022765660226377136
4,608,0.8641713514219037,0.11159048595326305,0.024238162624831208
4,624,0.8554934341496597,0.11882562921119612,0.02568093663914203
4,640,0.8464748032440125,0.12648208158053068,0.02704311517545488
4,656,0.8374363548682474,0.13406585863778922,0.02849778649396153
4,672,0.8286948189556745,0.1413944390673505,0.029910741976972834
4,688,0.819616036371431,0.14920351062555784,0.031180453003008896
4,704,0.8105012558863345,0.1569173924860897,0.03258135162757364
4,720,0.8018044465818878,0.16424617631141158,0.033949377106697806
4,736,0.792697625000546,0.17219108279823403,0.03511129220121755
4,752,0.783524185935286,0.18003884898751674,0.03643696507719496
4,768,0.7748441288838844,0.1873963751452739,0.037759495970839066
4,784,0.7657621956088201,0.19543600006665818,0.03880180432451875
4,800,0.7565619425361917,0.20340553139291379,0.04003252607089168
4,816,0.7479457482391079,0.2107629950243638,0.04129125673652559
4,832,0.738883009492737,0.21889403940494717,0.04222295110231314
4,848,0.7296579497968707,0.22700304168161403,0.04333900852151203
4,864,0.7210804280167332,0.2343892410166687,0.0445303309665951
4,880,0.7120821312563173,0.2425608850904652,0.04535698365321443
4,896,0.7028578265227429,0.25081134059217813,0.046330832885076154
4,912,0.6943133767798229,0.25823835800670675,0.04744826521346738
4,928,0.6853877593814764,0.26642467321432106,0.04818756740419906
4,944,0.6761330013750868,0.2748738500774326,0.04899314854747726
4,960,0.6676069851161217,0.2823637147186235,0.050029300165251776
4,976,0.6587739013028922,0.29053314578422157,0.05069295291288289
4,992,0.6494754295497177,0.2992146938625337,0.05130987658774534
4,1008,0.6409795180769803,0.30676374863356626,0.05225673328945016
4,1024,0.6322328064237235,0.3149202485127963,0.052846945063476626
5,0,1.0,0.0,0.0
5,16,1.0,0.0,0.0
5,32,1.0,0.0,0.0
5,48,1.0,0.0,0.0
5,64,1.0,0.0,0.0
5,80,1.0,0.0,0.0
5,96,0.9999999999999999,0.0,0.0
5,112,0.9999999999999999,0.0,0.0
5,128,0.999999964716919,3.508155511254011e-08,2.0152409278824652e-10
5,144,0.9999759569501001,2.391711785605395e-05,1.2593204292656485e-07
5,160,0.9996015637868783,0.0003964598332068434,1.976379914046138e-06
5,176,0.9979139649114974,0.0020761289079006566,9.906180599905944e-06
5,192,0.9936890351404035,0.006282216100893332,2.874875870135395e-05
5,208,0.9859811677763684,0.013957301742645456,6.153048098485034e-05
5,224,0.9741865627195149,0.025703515196962592,0.00010992208352101989
5,240,0.957140958415217,0.04268162461453825,0.00017741697024258713
5,256,0.9353927265377275,0.06434711576706886,0.00026015769520226263
5,272,0.908338815482852,0.09130165019241691,0.00035953432472920154
5,288,0.8769356317514827,0.12259371823753039,0.00047065001098494866
5,304,0.8411383277898937,0.158269028366714,0.0005926438433897609
5,320,0.8027328811432972,0.1965489089640647,0.0007182098926351978
5,336,0.7611278491054638,0.23802358025911893,0.0008485706354141585
5,352,0.7184359722749858,0.28058581975517527,0.0009782079698353692
5,368,0.6745285110174165,0.32436938276493166,0.0011021062176478523
5,384,0.6304387334293992,0.36833463245089176,0.0012266341197045673
5,400,0.586660012587056,0.4120040747644204,0.0013359126485187804
5,416,0.5439902337965536,0.4545668649832842,0.001442901220157475
5,432,0.5028829904850431,0.49558158339026376,0.0015354261246877316
5,448,0.4633107818319176,0.5350684243028162,0.0016207938652604554
5,464,0.42558259262354986,0.5727212796429008,0.0016961277335441
5,480,0.3902758530335241,0.6079684602701773,0.0017556866962928324
5,496,0.3569749459833297,0.6412102790146446,0.0018147750020201718
5,512,0.3262474442582617,0.6718988058949347,0.0018537498467974787
5,528,0.2978129179377577,0.7003008080590916,0.0018862740031434409
5,544,0.27130935911548754,0.7267652734859367,0.0019253673985690262
5,560,0.24721533151931865,0.7508563406218565,0.0019283278588188974
5,576,0.2251340387924001,0.772925299495345,0.0019406617122476359
5,592,0.20475958039150577,0.7932778355731682,0.001962584035319314
5,608,0.18626108187039989,0.8117988485332731,0.001940069596319355
5,624,0.16951272803682363,0.8285540803939992,0.0019331915691699775
5,640,0.15408805007214252,0.8439688092635994,0.0019431406642508382
5,656,0.14000570695056325,0.8580902847573063,0.0019040082921232021
5,672,0.12735369208675704,0.8707668779982478,0.0018794299149880683
5,688,0.11578666362555207,0.8823330488857828,0.0018802874886580108
5,704,0.10517377323975698,0.8929922321078457,0.001833994652389819
5,720,0.0957007224662992,0.9025068441004342,0.0017924334332588758
5,736,0.08703192343849928,0.9111812347774225,0.0017868417840712172
5,752,0.07905782122571438,0.9192026207601689,0.0017395580141100879
5,768,0.07192782661486656,0.9263889369081686,0.0016832364769576165
5,784,0.06545592307798924,0.9328711981128041,0.001672878809199667
5,800,0.059467841707960406,0.9389037295154726,0.0016284287765589867
5,816,0.05412855451741176,0.9443108262417981,0.0015606192407828026
5,832,0.0492704351635939,0.9491828950769168,0.0015466697594827732
5,848,0.044776157532376674,0.9537173092275262,0.0015065332400908283
5,864,0.04075956353235269,0.957808981095257,0.0014314553723841301
5,880,0.0371159689654674,0.9614694758754299,0.0014145551590955562
5,896,0.033753689042415186,0.9648673775447126,0.0013789334128663194
5,912,0.03072250061721127,0.9679763486783325,0.0013011507044485052
5,928,0.02798147623045249,0.9707372545556242,0.0012812692139165251
5,944,0.02546107392098955,0.9732891068016215,0.00124981927738282
5,960,0.02317049448439354,0.9756559666004596,0.0011735389151407304
5,976,0.021106096247294343,0.9777433923076994,0.0011505114450006616
5,992,0.019214590599701938,0.9796628181055732,0.0011225912947182275
5,1008,0.01748385805539912,0.9814648179035874,0.001051324041006964
5,1024,0.01592803366096012,0.9830469961987657,0.0010249701402673221
6,0,1.0,0.0,0.0
6,16,1.0,0.0,0.0
6,32,1.0,0.0,0.0
6,48,1.0,0.0,0.0
6,64,1.0,0.0,0.0
6,80,0.9999999999999999,0.0,0.0
6,96,0.9999999999999999,0.0,0.0
6,112,0.9999999999999999,0.0,0.0
6,128,0.99999963542676,3.645703905668723e-07,2.8477672477194e-12
6,144,0.9998066242598452,0.00019337451072297244,1.2294300506279707e-09
6,160,0.9972620179461528,0.0027379668735534905,1.5180292143681783e-08
6,176,0.987363160504481,0.012636777125216957,6.237030039875225e-08
6,192,0.9660729980404359,0.033926852672359294,1.492872029339581e-07
6,208,0.9325196511302294,0.06748008153086747,2.67338901560344e-07
6,224,0.8874391166250338,0.11256047551985479,4.078551090498781e-07
6,240,0.8304032530521729,0.1695961845865663,5.6236125807464e-07
6,256,0.7668718136230648,0.23312747772568582,7.086512463806357e-07
6,272,0.6973719099748117,0.30262724600393115,8.440212536470754e-07
6,288,0.6263301023544147,0.3736689402674518,9.573781296668526e-07
6,304,0.5550616312663433,0.44493732247516765,1.0462584845978702e-06
6,320,0.48727834427144373,0.5127205479419811,1.1077865703611342e-06
6,336,0.42288261148070966,0.5771162480977154,1.140421569292732e-06
6,352,0.364096044442955,0.6359028023328798,1.1532241606331116e-06
6,368,0.3105786596073262,0.689420195862108,1.144530560864415e-06
6,384,0.2630965391178931,0.7369023443294623,1.1165526386850919e-06
6,400,0.22133441320498812,0.7786645051537291,1.0816412765719335e-06
6,416,0.18513371015030647,0.8148652600974154,1.029752271596857e-06
6,432,0.1541272798195571,0.8458717420056271,9.781748087237048e-07
6,448,0.12766182275303917,0.8723372539800817,9.232668728983591e-07
6,464,0.10529660623376891,0.8947025346396822,8.591265430164852e-07
6,480,0.08659131805860364,0.9134078745594482,8.073819407587759e-07
6,496,0.07096079094463804,0.9290384650936283,7.439617283884523e-07
6,512,0.058118528952918705,0.9418807809262905,6.901207848243678e-07
6,528,0.04752484971827417,0.9524745033531622,6.469285579902725e-07
6,544,0.03873128690226178,0.9612681271755288,5.859222030980409e-07
6,560,0.0316166044517656,0.9683828503527914,5.451954363649261e-07
6,576,0.02578659043626549,0.9742128979963622,5.115673664186074e-07
6,592,0.02098863859740491,0.9790109040472174,4.5735537202306953e-07
6,608,0.017102908111045943,0.9828966652819335,4.2660701466929674e-07
6,624,0.013952104729930215,0.9860474934650841,4.018049814689278e-07
6,640,0.011355436837493273,0.9886442070664893,3.560960115380868e-07
6,656,0.009245345218420697,0.9907543231212232,3.3166035060101693e-07
6,672,0.0075438649426504975,0.9924558215200006,3.135373430969512e-07
6,688,0.006147765027315233,0.9938519582235461,2.7674913386086634e-07
6,704,0.005005743220030703,0.9949940003821073,2.563978563917641e-07
6,720,0.0040906378541373505,0.9959091189030777,2.4324278011789944e-07
6,736,0.00333754779938022,0.9966622370987328,2.15101882189708e-07
6,752,0.0027189387477406716,0.9972808641163712,1.9713588326711478e-07
6,768,0.0022230080466339925,0.9977768043939292,1.8755943068198195e-07
6,784,0.0018168496610278066,0.9981829833282134,1.670107529716147e-07
6,800,0.0014806079487813255,0.9985192412971663,1.507540470579775e-07
6,816,0.001212125174458854,0.9987877310698191,1.437557173708855e-07
6,832,0.000991506708777462,0.9990083638760414,1.294151764469051e-07
6,848,0.0008083692226675129,0.9991915161374116,1.1463991609626115e-07
6,864,0.0006620944724941361,0.9993377959957485,1.0953175315873036e-07
6,880,0.0005420849559203919,0.999457815182034,9.986204155283805e-08
6,896,0.0004425017571835938,0.9995574115281773,8.671463494610044e-08
6,912,0.000362311566934841,0.9996376054557701,8.297729085887757e-08
6,928,0.0002968072362626867,0.999703116182695,7.658103806707012e-08
6,944,0.00024250164087050353,0.9997574330940798,6.52650448488683e-08
6,960,0.0001984585857454828,0.9998014789096897,6.250455911016976e-08
6,976,0.00016263411963806583,0.9998373075910196,5.828933805615066e-08
6,992,0.00013299500669400923,0.9998669560783247,4.891497722589886e-08
6,1008,0.00010876926375943304,0.9998911839167067,4.681952953136445e-08
6,1024,8.916275515191295e-05,0.9999107932247507,4.402009359810743e-08
7,0,1.0,0.0,0.0
7,16,1.0,0.0,0.0
7,32,1.0,0.0,0.0
7,48,1.0,0.0,0.0
7,64,1.0,0.0,0.0
7,80,1.0,0.0,0.0
7,96,0.9999999999999998,0.0,0.0
7,112,0.9999999999999998,0.0,0.0
7,128,0.9999983073312729,1.6926685312597685e-06,1.9413526453040313e-13
7,144,0.9992467190127635,0.0007532809211700056,6.606492038261494e-11
7,160,0.9904896082582787,0.009510391049589648,6.92130035934356e-10
7,176,0.9600754660633118,0.03992453147433392,2.462352550746699e-09
7,192,0.9022266158383567,0.0977733790676975,5.093943837308901e-09
7,208,0.8221921538439453,0.1778078382881674,7.867884488229193e-09
7,224,0.7280005907329974,0.2719993989071503,1.0359849062387735e-08
7,240,0.6247714061152344,0.37522858167521983,1.2209542336629888e-08
7,256,0.5251929753691944,0.47480701141445014,1.3216350567583768e-08
7,272,0.4306394256674431,0.56936056085605,1.3476502463398033e-08
7,288,0.3468381248383004,0.6531618620704712,1.3091222772159428e-08
7,304,0.27415037213628635,0.7258496156457076,1.2218000975059448e-08
7,320,0.2139066248760144,0.7860933640581736,1.1065805443278538e-08
7,336,0.16456800704738922,0.8354319832159187,9.736685600323953e-09
7,352,0.1252759168525786,0.8747240747381959,8.409220471859142e-09
7,368,0.09431163346583682,0.9056883594237373,7.110420159416314e-09
7,384,0.07043866887193606,0.9295613251957645,5.932294400661815e-09
7,400,0.05219519634713275,0.947804798765745,4.887115990919861e-09
7,416,0.03841148325628563,0.9615885127642895,3.979419494353611e-09
7,432,0.028129425239109756,0.9718705715409733,3.2199114914160457e-09
7,448,0.020483669925426475,0.9795163274907802,2.5837871702035127e-09
7,464,0.014858493475931284,0.9851415044620092,2.062053847006158e-09
7,480,0.010738918475899114,0.9892610798843342,1.6397613728043425e-09
