衡钱数量,厉钱数量,初始源石锭数量,失败概率,成功概率,中间态概率
4,7,0,1.0,0.0,0.0
4,7,32,1.0,0.0,0.0
4,7,64,1.0,0.0,0.0
4,7,96,0.8259618742540589,0.17386469931991522,0.0001734264260021371
4,7,128,0.6934260345973884,0.3062799588991212,0.0002940065034654345
4,7,160,0.5732227641519378,0.42635993844391146,0.00041729740412489323
4,7,192,0.487814033023996,0.5116946199658277,0.0004913470101476839
4,7,224,0.41015652217400056,0.5893151193678945,0.000528358458069988
4,7,256,0.3347226348439759,0.6646710357046703,0.0006063294513239262
4,7,288,0.2841875124339619,0.7151802206819441,0.0006322668840651766
4,7,320,0.234122156617618,0.7651941234751978,0.0006837199071592869
4,7,352,0.19586465320806085,0.8034755826320192,0.000659764159893249
4,7,384,0.16606742067848948,0.8332636010638795,0.0006689782576035251
4,7,416,0.13810532880915385,0.8612163184484847,0.0006783527423327724
4,7,448,0.11615462326820773,0.8832140463506293,0.0006313303811377192
4,7,480,0.09478852802682347,0.9045750320687285,0.0006364399044172308
4,7,512,0.0804773675628619,0.9188900899644112,0.0006325424727014963
4,7,544,0.06851560059063698,0.930877187393522,0.0006072120158144279
4,7,576,0.05546223246204584,0.9439781230211455,0.0005596445167807365
4,7,608,0.04702323525746992,0.9524277028097947,0.0005490619327101034
4,7,640,0.039103970144341846,0.9603710713054333,0.0005249585501997332
4,7,672,0.03288777075780501,0.9665996881054464,0.0005125411367243949
4,7,704,0.027510814546685074,0.9720321717482353,0.0004570137050531225
4,7,736,0.022782616918988138,0.9767776440578572,0.0004397390231297034
4,7,768,0.01939477621270207,0.9801885863106682,0.00041663747660467107
4,7,800,0.015697393312542576,0.9839312658566587,0.0003713408307764196
4,7,832,0.013307565862915023,0.9863410621753362,0.0003513719617268815
4,7,864,0.011296476746005786,0.9883732832460346,0.00033024000793611263
4,7,896,0.009304666731770647,0.9903816393406591,0.0003136939275490629
4,7,928,0.007781087736378107,0.9919458957586964,0.0002730165049069135
4,7,960,0.006442470100963425,0.9932964272392677,0.00026110265975088113
4,7,992,0.00548294879801781,0.9942773810055379,0.00023967019642724886
4,7,1024,0.004608252146309135,0.9951853456274952,0.0002064022261791931
4,8,0,1.0,0.0,0.0
4,8,32,1.0,0.0,0.0
4,8,64,1.0,0.0,0.0
4,8,96,0.7327451182905061,0.26725481755211744,6.415735450054817e-08
4,8,128,0.5579712566151349,0.4420286435857014,9.979914517440841e-08
4,8,160,0.4148315500802643,0.5851683149543376,1.34965374789191e-07
4,8,192,0.32221747380432525,0.6777823762478082,1.4994784495233397e-07
4,8,224,0.24572897980483824,0.7542708702100189,1.4998512305958445e-07
4,8,256,0.17914892614412042,0.8208509088123517,1.650435115724338e-07
4,8,288,0.13913926742219473,0.8608605705109577,1.6206682930124505e-07
4,8,320,0.10266973573537118,0.8973300952015436,1.6906306721671893e-07
4,8,352,0.07795568269574989,0.9220441658974914,1.514067385972907e-07
4,8,384,0.06017285728941601,0.939826996611632,1.4609893513130738e-07
4,8,416,0.04519310031967636,0.9548067579167948,1.417635098975724e-07
4,8,448,0.03448572309346867,0.9655141542558836,1.2265062827731248e-07
4,8,480,0.025139596238800015,0.9748602863628076,1.17398371601016e-07
4,8,512,0.019525373799643593,0.9804745136787426,1.1252159548417059e-07
4,8,544,0.015179905030971455,0.9848199929425046,1.0202650758359141e-07
4,8,576,0.010939637791572032,0.9890602749671159,8.724130023105408e-08
4,8,608,0.008444129079523539,0.9915557882400782,8.268038274313698e-08
4,8,640,0.006341996499509163,0.9936579289277113,7.457276445126226e-08
4,8,672,0.00483941599417082,0.9951605137180197,7.0287792491646e-08
4,8,704,0.0036744998048896917,0.9963254419987994,5.8196295822403954e-08
4,8,736,0.002740004568262406,0.997259942210821,5.3220901942760775e-08
4,8,768,0.002130197791563658,0.9978697538611816,4.834724226892795e-08
4,8,800,0.0015351527569143607,0.9984648072548822,3.998819400343555e-08
4,8,832,0.001184954986369033,0.9988150090057563,3.600786598923416e-08
4,8,864,0.0009203225954197547,0.9990796449926242,3.241194380103014e-08
4,8,896,0.000679101562347265,0.9993208691603279,2.9277317468266094e-08
4,8,928,0.0005156243132054893,0.9994843520228031,2.36639785317099e-08
4,8,960,0.00038448684995118866,0.9996154913074977,2.1842539683963165e-08
4,8,992,0.00029891148735489837,0.9997010695797468,1.8932889856097132e-08
